"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,e,γ,"R e,out/R e,in",t out/t in,φ r,"fy,out","fy,in","fc,ref",L,e/L,N0/kN,Nexp/kN
67.0,3.0,24.0,5.0,1291.19,832.52,2123.72,11460.53,1809.56,0.4328,0.0,0.0,2.792,0.6,1.0,285.0,290.0,37.82,500.0,0.0,1042.82,1223.7
65.0,5.0,31.0,3.0,2120.58,612.61,2733.19,9641.55,3019.07,0.5231,0.0,0.0,2.097,1.667,1.0,290.0,285.0,37.82,500.0,0.0,1154.17,1347.0
65.0,5.0,36.0,3.0,2120.58,706.86,2827.43,8494.87,4071.5,0.6,0.0,0.0,1.806,1.667,1.0,290.0,285.0,37.82,500.0,0.0,1137.67,1334.3
87.0,3.0,19.0,5.0,1668.19,675.44,2343.63,21969.16,1134.11,0.2759,0.0,0.0,4.579,0.6,1.0,300.0,320.0,37.82,500.0,0.0,1547.39,1852.2
87.0,3.0,24.0,5.0,1668.19,832.52,2500.71,21136.64,1809.56,0.3333,0.0,0.0,3.625,0.6,1.0,300.0,320.0,37.82,500.0,0.0,1566.17,1841.4
85.0,5.0,31.0,3.0,2748.89,612.61,3361.5,19066.33,3019.07,0.4,0.0,0.0,2.742,1.667,1.0,320.0,300.0,37.82,500.0,0.0,1784.45,2057.5
85.0,5.0,36.0,3.0,2748.89,706.86,3455.75,17919.64,4071.5,0.4588,0.0,0.0,2.361,1.667,1.0,320.0,300.0,37.82,500.0,0.0,1769.36,2043.3
97.5,4.0,34.0,4.0,2500.71,904.78,3405.49,25328.31,3631.68,0.3897,0.0,0.0,2.868,1.0,1.0,711.2,450.0,92.48,600.0,0.0,4528.11,5572.1
97.5,4.0,53.0,4.0,2500.71,1382.3,3883.01,19657.73,8824.73,0.5846,0.0,0.0,1.84,1.0,1.0,711.2,378.0,102.92,600.0,0.0,4324.19,4751.4
95.5,6.0,53.0,4.0,3713.36,1382.3,5095.66,18445.08,8824.73,0.5969,0.0,0.0,1.802,1.5,1.0,770.5,378.0,102.71,600.0,0.0,5278.08,6081.5
144.0,6.0,97.5,4.0,5541.77,2500.71,8042.48,32778.59,29864.77,0.7049,0.0,0.0,1.477,1.5,1.0,770.5,711.2,102.71,900.0,0.0,9415.0,9783.8
144.0,6.0,97.5,4.0,5541.77,2500.71,8042.48,32778.59,29864.77,0.7049,0.0,0.0,1.477,1.5,1.0,770.5,711.2,92.48,900.0,0.0,9079.92,9438.3
60.5,3.0,22.1,1.9,1168.67,275.17,1443.84,9689.46,1534.39,0.3967,0.0,0.0,2.738,1.579,1.0,319.7,326.7,35.8,1250.0,0.0,810.38,840.0
60.5,3.0,27.64,2.36,1168.67,427.35,1596.02,8671.58,2400.08,0.4959,0.0,0.0,2.189,1.271,1.0,319.7,336.2,35.8,1250.0,0.0,827.72,956.0
60.5,3.0,22.1,1.9,1168.67,275.17,1443.84,9689.46,1534.39,0.3967,0.0,0.0,2.738,1.579,1.0,319.7,326.7,35.8,1600.0,0.0,810.38,760.0
60.5,3.0,27.64,2.36,1168.67,427.35,1596.02,8671.58,2400.08,0.4959,0.0,0.0,2.189,1.271,1.0,319.7,336.2,35.8,1600.0,0.0,827.72,820.0
67.0,3.0,22.1,1.9,1291.19,275.17,1566.37,12293.05,1534.39,0.3582,0.0,0.0,3.032,1.579,1.0,329.3,326.7,35.8,1600.0,0.0,955.15,1042.0
66.0,4.0,35.08,2.92,1709.03,670.4,2379.42,9148.32,3866.06,0.5758,0.0,0.0,1.881,1.37,1.0,309.5,311.9,35.8,1600.0,0.0,1065.53,1120.0
66.0,4.0,34.25,3.75,1709.03,851.18,2560.2,9148.32,3685.28,0.5758,0.0,0.0,1.927,1.067,1.0,309.5,340.1,35.8,1600.0,0.0,1145.92,1120.0
88.0,2.0,15.6,2.0,1118.41,208.6,1327.01,23355.35,764.54,0.2,0.0,0.0,5.641,1.0,1.0,268.26,268.26,39.11,480.0,0.0,1269.32,1402.39
88.0,2.0,24.4,2.0,1118.41,319.19,1437.59,22138.93,1870.38,0.3,0.0,0.0,3.607,1.0,1.0,268.26,268.26,39.11,480.0,0.0,1251.41,1308.25
88.0,2.0,33.2,2.0,1118.41,429.77,1548.18,20435.93,3462.79,0.4,0.0,0.0,2.651,1.0,1.0,268.26,268.26,39.11,480.0,0.0,1214.48,1252.05
88.0,2.0,42.0,2.0,1118.41,540.35,1658.76,18246.37,5541.77,0.5,0.0,0.0,2.095,1.0,1.0,268.26,268.26,39.11,480.0,0.0,1158.52,1157.3
88.0,2.0,50.8,2.0,1118.41,650.94,1769.34,15570.24,8107.32,0.6,0.0,0.0,1.732,1.0,1.0,268.26,268.26,39.11,480.0,0.0,1083.53,1116.62
88.0,2.0,59.6,2.0,1118.41,761.52,1879.93,12407.53,11159.44,0.7,0.0,0.0,1.477,1.0,1.0,268.26,268.26,39.11,480.0,0.0,989.52,1037.3
88.0,2.0,68.4,2.0,1118.41,872.11,1990.51,8758.26,14698.13,0.8,0.0,0.0,1.287,1.0,1.0,268.26,268.26,39.11,480.0,0.0,876.48,986.09
87.0,3.0,24.1,2.0,1668.19,315.42,1983.6,21638.63,1824.67,0.3,0.0,0.0,3.61,1.5,1.0,336.54,336.54,39.11,480.0,0.0,1513.76,1620.26
87.0,3.0,23.1,3.0,1668.19,463.7,2131.88,21638.63,1676.39,0.3,0.0,0.0,3.766,1.0,1.0,336.54,336.54,39.11,480.0,0.0,1563.66,1681.03
87.0,3.0,22.1,4.0,1668.19,605.7,2273.88,21638.63,1534.39,0.3,0.0,0.0,3.937,0.75,1.0,336.54,336.54,39.11,480.0,0.0,1611.45,1734.09
87.0,3.0,21.1,5.0,1668.19,741.42,2409.6,21638.63,1398.67,0.3,0.0,0.0,4.123,0.6,1.0,336.54,336.54,39.11,480.0,0.0,1657.13,1792.03
87.0,3.0,20.1,6.0,1668.19,870.85,2539.04,21638.63,1269.23,0.3,0.0,0.0,4.328,0.5,1.0,336.54,336.54,39.11,480.0,0.0,1700.69,1844.08
87.0,3.0,18.1,8.0,1668.19,1110.87,2779.05,21638.63,1029.22,0.3,0.0,0.0,4.807,0.375,1.0,336.54,336.54,39.11,480.0,0.0,1781.46,1957.58
87.0,3.0,16.1,10.0,1668.19,1325.75,2993.94,21638.63,814.33,0.3,0.0,0.0,5.404,0.3,1.0,336.54,336.54,39.11,480.0,0.0,1853.78,2068.39
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,400.0,0.0,1553.76,1670.25
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,500.0,0.0,1553.76,1657.74
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,600.0,0.0,1553.76,1644.03
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,700.0,0.0,1553.76,1635.11
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,850.0,0.0,1553.76,1624.57
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,1000.0,0.0,1553.76,1622.87
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,1150.0,0.0,1553.76,1618.74
87.0,3.0,31.8,3.0,1668.19,627.69,2295.88,19974.12,3176.9,0.4,0.0,0.0,2.736,1.0,1.0,336.54,336.54,39.11,1300.0,0.0,1553.76,1609.82
84.0,6.0,14.4,3.0,3279.82,299.71,3579.53,21215.93,651.44,0.2071,0.0,0.0,5.833,2.0,1.0,336.54,336.54,32.88,480.0,0.0,1902.2,1570.48
84.0,6.0,14.4,3.0,3279.82,299.71,3579.53,21215.93,651.44,0.2071,0.0,0.0,5.833,2.0,1.0,336.54,336.54,42.07,480.0,0.0,2097.15,1742.4
84.0,6.0,14.4,3.0,3279.82,299.71,3579.53,21215.93,651.44,0.2071,0.0,0.0,5.833,2.0,1.0,336.54,336.54,51.43,480.0,0.0,2295.81,1931.76
84.0,6.0,14.4,3.0,3279.82,299.71,3579.53,21215.93,651.44,0.2071,0.0,0.0,5.833,2.0,1.0,336.54,336.54,60.94,480.0,0.0,2497.55,2160.93
84.0,6.0,14.4,3.0,3279.82,299.71,3579.53,21215.93,651.44,0.2071,0.0,0.0,5.833,2.0,1.0,336.54,336.54,70.57,480.0,0.0,2701.93,2441.26
84.0,6.0,14.4,3.0,3279.82,299.71,3579.53,21215.93,651.44,0.2071,0.0,0.0,5.833,2.0,1.0,336.54,336.54,80.32,480.0,0.0,2908.63,2637.61
197.0,2.75,164.5,2.5,3427.67,2603.59,6031.27,34306.19,85012.28,0.8477,0.0,0.0,1.198,1.1,1.0,218.7,207.87,31.07,1200.0,0.0,2356.57,2199.0
197.0,2.75,164.5,2.5,3427.67,2603.59,6031.27,34306.19,85012.28,0.8477,0.0,0.0,1.198,1.1,1.0,218.7,207.87,31.07,1200.0,0.0,2356.57,2274.0
197.0,2.75,164.5,2.5,3427.67,2603.59,6031.27,34306.19,85012.28,0.8477,0.0,0.0,1.198,1.1,1.0,218.7,207.87,31.07,1200.0,0.0,2356.57,2452.0
197.0,2.75,164.5,2.5,3427.67,2603.59,6031.27,34306.19,85012.28,0.8477,0.0,0.0,1.198,1.1,1.0,218.7,207.87,31.07,1200.0,0.0,2356.57,2340.0
197.0,2.75,164.5,2.5,3427.67,2603.59,6031.27,34306.19,85012.28,0.8477,0.0,0.0,1.198,1.1,1.0,218.7,207.87,31.07,1200.0,0.0,2356.57,2527.0
49.626,6.905680503,21.25,3.0,2303.08,428.83,2731.91,5889.51,1418.63,0.5514,0.0,0.0,2.335,2.04,1.08,500.0,425.0,70.0,301.0,0.0,1746.06,1677.0
51.984,4.66020596,21.25,3.0,1590.38,428.83,2019.21,6642.33,1418.63,0.5264,0.0,0.0,2.446,1.377,1.08,476.0,400.0,70.0,301.0,0.0,1393.51,1253.0
53.09,3.554394376,21.25,3.0,1225.35,428.83,1654.18,7007.36,1418.63,0.5154,0.0,0.0,2.498,1.05,1.08,491.0,425.0,70.0,301.0,0.0,1274.41,1065.0
54.196,2.392163834,21.25,3.0,832.57,428.83,1261.39,7380.07,1418.63,0.5049,0.0,0.0,2.55,0.707,1.08,468.0,425.0,70.0,301.0,0.0,1088.5,935.0
53.034,3.554394376,21.25,3.0,1224.09,428.83,1652.92,6988.55,1418.63,0.516,0.0,0.0,2.496,1.05,1.08,491.0,400.0,70.0,301.0,0.0,1261.76,1040.0
54.196,2.392163834,21.25,3.0,832.57,428.83,1261.39,7380.07,1418.63,0.5049,0.0,0.0,2.55,0.707,1.08,468.0,400.0,70.0,301.0,0.0,1077.78,870.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,4.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,1070.0,0.003738318,986.39,856.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,4.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,1070.0,0.003738318,986.39,872.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,14.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,1070.0,0.013084112,986.39,667.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,14.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,1070.0,0.013084112,986.39,750.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,45.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,1070.0,0.042056075,986.39,480.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,45.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,1070.0,0.042056075,986.39,486.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,0.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,2136.0,0.0,986.39,920.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,0.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,2136.0,0.0,986.39,868.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,15.5,0.0,2.474,1.0,1.05,275.9,374.5,39.11,2136.0,0.007256554,986.39,596.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,15.5,0.0,2.474,1.0,1.05,275.9,374.5,39.11,2136.0,0.007256554,986.39,570.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,45.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,2136.0,0.021067416,986.39,380.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,45.0,0.0,2.474,1.0,1.05,275.9,374.5,39.11,2136.0,0.021067416,986.39,379.0
64.318,3.385137501,13.0,3.0,1404.0,273.32,1677.32,12191.75,530.93,0.2807,0.0,0.0,4.948,1.0,1.06,275.9,422.3,46.8,360.0,0.0,1073.36,1054.0
64.318,3.385137501,13.0,3.0,1404.0,273.32,1677.32,12191.75,530.93,0.2807,0.0,0.0,4.948,1.0,1.06,275.9,422.3,46.8,360.0,0.0,1073.36,1060.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.06,275.9,374.5,46.8,360.0,0.0,1010.95,990.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.06,275.9,374.5,46.8,360.0,0.0,1010.95,1000.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.06,275.9,370.2,46.8,360.0,0.0,1007.5,870.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.06,275.9,370.2,46.8,360.0,0.0,1007.5,996.0
98.169,3.385137501,41.0,3.0,2124.0,801.11,2925.11,24193.88,5281.02,0.5057,0.0,0.0,2.394,1.0,1.06,275.9,370.2,46.8,540.0,0.0,2014.85,1725.0
98.169,3.385137501,41.0,3.0,2124.0,801.11,2925.11,24193.88,5281.02,0.5057,0.0,0.0,2.394,1.0,1.06,275.9,370.2,46.8,540.0,0.0,2014.85,1710.0
132.02,3.385137501,54.0,3.0,2844.0,1046.15,3890.15,44548.97,9160.88,0.4872,0.0,0.0,2.445,1.0,1.06,275.9,294.5,46.8,720.0,0.0,3177.64,2580.0
132.02,3.385137501,54.0,3.0,2844.0,1046.15,3890.15,44548.97,9160.88,0.4872,0.0,0.0,2.445,1.0,1.06,275.9,294.5,46.8,720.0,0.0,3177.64,2460.0
165.872,3.385137501,79.5,3.0,3564.0,1526.81,5090.81,65053.54,19855.65,0.5612,0.0,0.0,2.086,1.0,1.06,275.9,320.5,46.8,900.0,0.0,4517.16,3240.0
165.872,3.385137501,79.5,3.0,3564.0,1526.81,5090.81,65053.54,19855.65,0.5612,0.0,0.0,2.086,1.0,1.06,275.9,320.5,46.8,900.0,0.0,4517.16,3430.0
64.318,3.385137501,13.0,3.0,1404.0,273.32,1677.32,12191.75,530.93,0.2807,0.0,0.0,4.948,1.0,1.05,275.9,415.42,39.11,360.0,0.0,977.68,1054.0
64.318,3.385137501,13.0,3.0,1404.0,273.32,1677.32,12191.75,530.93,0.2807,0.0,0.0,4.948,1.0,1.05,275.9,415.42,39.11,360.0,0.0,977.68,1060.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,0.0,0.0,2.474,1.0,1.05,275.9,369.6,39.11,360.0,0.0,983.85,990.0
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,0.0,0.0,2.474,1.0,1.05,275.9,369.6,39.11,360.0,0.0,983.85,1000.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.05,275.9,376.72,39.11,360.0,0.0,959.53,870.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.05,275.9,376.72,39.11,360.0,0.0,959.53,996.0
98.169,3.385137501,41.0,3.0,2124.0,801.11,2925.11,24193.88,5281.02,0.5057,0.0,0.0,2.394,1.0,1.05,275.9,376.72,39.11,540.0,0.0,1833.93,1725.0
98.169,3.385137501,41.0,3.0,2124.0,801.11,2925.11,24193.88,5281.02,0.5057,0.0,0.0,2.394,1.0,1.05,275.9,376.72,39.11,540.0,0.0,1833.93,1710.0
132.02,3.385137501,54.0,3.0,2844.0,1046.15,3890.15,44548.97,9160.88,0.4872,0.0,0.0,2.445,1.0,1.05,275.9,312.32,39.11,720.0,0.0,2853.52,2580.0
132.02,3.385137501,54.0,3.0,2844.0,1046.15,3890.15,44548.97,9160.88,0.4872,0.0,0.0,2.445,1.0,1.05,275.9,312.32,39.11,720.0,0.0,2853.52,2460.0
165.872,3.385137501,79.5,3.0,3564.0,1526.81,5090.81,65053.54,19855.65,0.5612,0.0,0.0,2.086,1.0,1.05,275.9,312.85,39.11,900.0,0.0,4004.95,3240.0
165.872,3.385137501,79.5,3.0,3564.0,1526.81,5090.81,65053.54,19855.65,0.5612,0.0,0.0,2.086,1.0,1.05,275.9,312.85,39.11,900.0,0.0,4004.95,3430.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,2908.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,2860.0
120.037,4.084732585,49.28,3.72,3133.18,1195.32,4328.5,36442.08,7629.42,0.4982,0.0,0.0,2.436,0.973,1.06,319.6,380.6,51.43,660.0,0.0,3330.55,3516.0
120.037,4.084732585,49.28,3.72,3133.18,1195.32,4328.5,36442.08,7629.42,0.4982,0.0,0.0,2.436,0.973,1.06,319.6,380.6,51.43,660.0,0.0,3330.55,3309.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,1116.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,1159.0
86.186,4.084732585,27.15,2.85,2264.38,511.69,2776.08,20508.18,2315.74,0.3928,0.0,0.0,3.174,1.27,1.05,374.0,394.0,42.53,480.0,0.0,1920.73,1620.0
118.48,5.641895835,39.0,6.0,4300.0,1583.36,5883.36,37738.27,4778.36,0.4286,0.0,0.0,3.038,0.833,1.05,350.0,350.0,40.0,660.0,0.0,3568.71,3710.0
119.608,4.513516668,39.0,6.0,3456.0,1583.36,5039.36,38582.27,4778.36,0.4245,0.0,0.0,3.067,0.667,1.05,350.0,350.0,40.0,660.0,0.0,3307.07,3475.0
120.737,3.385137501,39.0,6.0,2604.0,1583.36,4187.36,39434.27,4778.36,0.4206,0.0,0.0,3.096,0.5,1.05,350.0,350.0,40.0,660.0,0.0,3042.95,3108.0
121.865,2.256758334,39.0,6.0,1744.0,1583.36,3327.36,40294.27,4778.36,0.4167,0.0,0.0,3.125,0.333,1.05,350.0,350.0,40.0,660.0,0.0,2776.35,2786.0
122.993,1.128379167,39.0,6.0,876.0,1583.36,2459.36,41162.27,4778.36,0.4128,0.0,0.0,3.154,0.167,1.05,350.0,350.0,40.0,660.0,0.0,2507.27,2465.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,350.0,350.0,40.0,900.0,0.0,7589.8,7226.0
186.183,11.28379167,68.0,7.0,13600.0,3144.73,16744.73,91228.54,14526.72,0.4545,0.0,0.0,2.738,1.429,1.05,350.0,350.0,40.0,1050.0,0.0,9509.8,9055.0
214.392,11.28379167,68.0,7.0,15600.0,3144.73,18744.73,126728.54,14526.72,0.3947,0.0,0.0,3.153,1.429,1.05,350.0,350.0,40.0,1200.0,0.0,11629.8,11225.0
242.602,11.28379167,68.0,7.0,17600.0,3144.73,20744.73,167228.54,14526.72,0.3488,0.0,0.0,3.568,1.429,1.05,350.0,350.0,40.0,1350.0,0.0,13949.8,13720.0
270.811,11.28379167,68.0,7.0,19600.0,3144.73,22744.73,212728.54,14526.72,0.3125,0.0,0.0,3.983,1.429,1.05,350.0,350.0,40.0,1500.0,0.0,16469.8,15850.0
115.095,9.027033337,39.0,6.0,6784.0,1583.36,8367.36,35254.27,4778.36,0.4412,0.0,0.0,2.951,1.333,1.05,350.0,350.0,40.0,660.0,0.0,4338.75,4272.0
115.095,9.027033337,40.0,5.0,6784.0,1335.18,8119.18,35254.27,5026.55,0.4412,0.0,0.0,2.877,1.6,1.05,350.0,350.0,40.0,660.0,0.0,4251.88,4184.0
115.095,9.027033337,41.0,4.0,6784.0,1080.71,7864.71,35254.27,5281.02,0.4412,0.0,0.0,2.807,2.0,1.05,350.0,350.0,40.0,660.0,0.0,4162.82,4098.0
115.095,9.027033337,42.0,3.0,6784.0,819.96,7603.96,35254.27,5541.77,0.4412,0.0,0.0,2.74,2.667,1.05,350.0,350.0,40.0,660.0,0.0,4071.56,4009.0
115.095,9.027033337,43.0,2.0,6784.0,552.92,7336.92,35254.27,5808.8,0.4412,0.0,0.0,2.677,4.0,1.05,350.0,350.0,40.0,660.0,0.0,3978.09,3802.0
115.095,9.027033337,6.25,4.0,6784.0,207.35,6991.35,41285.94,122.72,0.1005,0.0,0.0,18.415,2.0,1.05,350.0,350.0,40.0,660.0,0.0,4098.41,4131.0
115.095,9.027033337,16.0,4.0,6784.0,452.39,7236.39,40359.36,804.25,0.1961,0.0,0.0,7.193,2.0,1.05,350.0,350.0,40.0,660.0,0.0,4147.11,4160.0
115.095,9.027033337,26.0,4.0,6784.0,703.72,7487.72,38788.57,2123.72,0.2941,0.0,0.0,4.427,2.0,1.05,350.0,350.0,40.0,660.0,0.0,4172.24,4168.0
115.095,9.027033337,47.0,4.0,6784.0,1231.5,8015.5,33444.72,6939.78,0.5,0.0,0.0,2.449,2.0,1.05,350.0,350.0,40.0,660.0,0.0,4143.22,4035.0
115.095,9.027033337,67.5,4.0,6784.0,1746.73,8530.73,25555.39,14313.88,0.701,0.0,0.0,1.705,2.0,1.05,350.0,350.0,40.0,660.0,0.0,4007.97,3780.0
115.095,9.027033337,77.5,4.0,6784.0,1998.05,8782.05,20748.76,18869.19,0.799,0.0,0.0,1.485,2.0,1.05,350.0,350.0,40.0,660.0,0.0,3903.67,3580.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,250.0,400.0,40.0,900.0,0.0,6587.04,6806.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,300.0,400.0,40.0,900.0,0.0,7167.04,7226.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,350.0,400.0,40.0,900.0,0.0,7747.04,7612.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,400.0,400.0,40.0,900.0,0.0,8327.04,7990.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,450.0,400.0,40.0,900.0,0.0,8907.04,8385.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,400.0,250.0,40.0,900.0,0.0,7855.33,7539.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,400.0,300.0,40.0,900.0,0.0,8012.56,7700.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,400.0,350.0,40.0,900.0,0.0,8169.8,7853.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,400.0,400.0,40.0,900.0,0.0,8327.04,8008.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,400.0,450.0,40.0,900.0,0.0,8484.27,8166.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.04,350.0,350.0,30.0,900.0,0.0,6982.51,6846.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.06,350.0,350.0,55.0,900.0,0.0,8500.73,8410.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.08,350.0,350.0,70.0,900.0,0.0,9411.65,9345.0
